ISBN,End Date,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher Group,Product Class,Product Category,Publication Date,Country of Publication
9780722532935,2012-08-11,"Alchemist,The","Coelho, Paulo",201233,493.0,3424.49,6.9462,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-08-11,"Very Hungry Caterpillar,The","Carle, Eric",201233,0.0,3621.72,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-08-18,"Alchemist,The","Coelho, Paulo",201234,463.0,3148.45,6.8001,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-08-18,"Very Hungry Caterpillar,The","Carle, Eric",201234,659.0,3701.27,5.6165,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-08-18,"Very Hungry Caterpillar,The","Carle, Eric",201234,0.0,3701.27,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-08-25,"Alchemist,The","Coelho, Paulo",201235,424.0,2860.86,6.7473,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-08-25,"Very Hungry Caterpillar,The","Carle, Eric",201235,718.0,4081.1,5.684,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-08-25,"Very Hungry Caterpillar,The","Carle, Eric",201235,0.0,4081.1,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780140500875,2012-09-01,"Very Hungry Caterpillar,The","Carle, Eric",201236,0.0,3468.18,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-09-01,"Very Hungry Caterpillar,The","Carle, Eric",201236,631.0,3468.18,5.4963,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-09-01,"Alchemist,The","Coelho, Paulo",201236,522.0,3414.42,6.541,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780722532935,2012-09-08,"Alchemist,The","Coelho, Paulo",201237,431.0,2892.27,6.7106,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-09-08,"Very Hungry Caterpillar,The","Carle, Eric",201237,627.0,3382.81,5.3952,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-09-08,"Very Hungry Caterpillar,The","Carle, Eric",201237,0.0,3382.81,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-09-15,"Very Hungry Caterpillar,The","Carle, Eric",201238,657.0,3589.17,5.463,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-09-15,"Very Hungry Caterpillar,The","Carle, Eric",201238,0.0,3589.17,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-09-15,"Alchemist,The","Coelho, Paulo",201238,409.0,2901.73,7.0947,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-09-22,"Very Hungry Caterpillar,The","Carle, Eric",201239,0.0,3395.44,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-09-22,"Alchemist,The","Coelho, Paulo",201239,371.0,2586.56,6.9719,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-09-22,"Very Hungry Caterpillar,The","Carle, Eric",201239,632.0,3395.44,5.3725,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-09-29,"Alchemist,The","Coelho, Paulo",201240,441.0,3054.11,6.9254,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-09-29,"Very Hungry Caterpillar,The","Carle, Eric",201240,635.0,3472.2,5.468,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-09-29,"Very Hungry Caterpillar,The","Carle, Eric",201240,0.0,3472.2,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
